Timestamp,Source MAC,Destination MAC,Signal Strength (dBm),Packet Type,Reason Code,Anomaly
04-02-2025 12:21,48:5D:36:11:22:33,24:A4:3C:44:55:66,-36,Deauth,0x01,Yes
04-02-2025 12:56,00:14:22:01:23:45,48:5D:36:11:22:33,-42,Data,N/A,No
04-02-2025 12:10,18:56:80:99:AA:BB,34:AB:CD:EF:12:34,-76,Deauth,0x01,Yes
04-02-2025 12:38,34:AB:CD:EF:12:34,18:56:80:99:AA:BB,-37,Authentication,N/A,No
04-02-2025 12:37,00:14:22:01:23:45,FF:FF:FF:FF:FF:FF,-77,Association,N/A,No
04-02-2025 12:55,48:5D:36:11:22:33,48:5D:36:11:22:33,-50,Association,N/A,No
04-02-2025 12:21,00:1A:2B:3C:4D:5E,00:1A:2B:3C:4D:5E,-66,Association,N/A,No
04-02-2025 12:07,00:1A:2B:3C:4D:5E,FF:FF:FF:FF:FF:FF,-53,Deauth,0x01,Yes
04-02-2025 12:06,00:14:22:01:23:45,24:A4:3C:44:55:66,-52,Authentication,N/A,No
04-02-2025 12:55,48:5D:36:11:22:33,24:A4:3C:44:55:66,-63,Authentication,N/A,No
04-02-2025 12:06,34:AB:CD:EF:12:34,34:AB:CD:EF:12:34,-44,Deauth,0x04,Yes
04-02-2025 12:02,24:A4:3C:44:55:66,24:A4:3C:44:55:66,-42,Data,N/A,No
04-02-2025 12:52,18:56:80:99:AA:BB,24:A4:3C:44:55:66,-64,Deauth,0x04,Yes
04-02-2025 12:07,00:1A:2B:3C:4D:5E,18:56:80:99:AA:BB,-37,Deauth,0x0C,Yes
04-02-2025 12:47,00:14:22:01:23:45,00:14:22:01:23:45,-58,Association,N/A,No
04-02-2025 12:38,00:1A:2B:3C:4D:5E,00:1A:2B:3C:4D:5E,-35,Authentication,N/A,No
04-02-2025 12:45,00:1A:2B:3C:4D:5E,48:5D:36:11:22:33,-77,Association,N/A,No
04-02-2025 12:45,00:14:22:01:23:45,00:1A:2B:3C:4D:5E,-51,Association,N/A,No
04-02-2025 12:16,00:14:22:01:23:45,24:A4:3C:44:55:66,-53,Authentication,N/A,No
04-02-2025 12:33,00:1A:2B:3C:4D:5E,FF:FF:FF:FF:FF:FF,-33,Deauth,0x0C,Yes
04-02-2025 12:08,24:A4:3C:44:55:66,24:A4:3C:44:55:66,-54,Data,N/A,No
04-02-2025 12:54,00:1A:2B:3C:4D:5E,00:14:22:01:23:45,-55,Data,N/A,No
04-02-2025 12:19,18:56:80:99:AA:BB,FF:FF:FF:FF:FF:FF,-31,Authentication,N/A,No
04-02-2025 12:17,18:56:80:99:AA:BB,00:14:22:01:23:45,-73,Data,N/A,No
04-02-2025 12:28,34:AB:CD:EF:12:34,24:A4:3C:44:55:66,-40,Association,N/A,No
04-02-2025 12:02,48:5D:36:11:22:33,18:56:80:99:AA:BB,-41,Deauth,0x04,Yes
04-02-2025 12:19,48:5D:36:11:22:33,FF:FF:FF:FF:FF:FF,-43,Deauth,0x0C,Yes
04-02-2025 12:56,00:1A:2B:3C:4D:5E,FF:FF:FF:FF:FF:FF,-44,Association,N/A,No
04-02-2025 12:54,34:AB:CD:EF:12:34,18:56:80:99:AA:BB,-45,Authentication,N/A,No
04-02-2025 12:40,00:1A:2B:3C:4D:5E,FF:FF:FF:FF:FF:FF,-64,Deauth,0x0C,Yes
04-02-2025 12:21,48:5D:36:11:22:33,FF:FF:FF:FF:FF:FF,-62,Deauth,0x03,Yes
04-02-2025 12:16,00:1A:2B:3C:4D:5E,FF:FF:FF:FF:FF:FF,-40,Deauth,0x0C,Yes
04-02-2025 12:02,00:1A:2B:3C:4D:5E,48:5D:36:11:22:33,-74,Data,N/A,No
04-02-2025 12:59,24:A4:3C:44:55:66,48:5D:36:11:22:33,-62,Association,N/A,No
04-02-2025 12:25,00:14:22:01:23:45,24:A4:3C:44:55:66,-66,Data,N/A,No
04-02-2025 12:40,00:14:22:01:23:45,FF:FF:FF:FF:FF:FF,-69,Authentication,N/A,No
04-02-2025 12:47,48:5D:36:11:22:33,FF:FF:FF:FF:FF:FF,-35,Authentication,N/A,No
04-02-2025 12:59,00:14:22:01:23:45,24:A4:3C:44:55:66,-33,Data,N/A,No
04-02-2025 12:02,34:AB:CD:EF:12:34,00:1A:2B:3C:4D:5E,-32,Data,N/A,No
04-02-2025 12:00,00:1A:2B:3C:4D:5E,FF:FF:FF:FF:FF:FF,-44,Deauth,0x03,Yes
04-02-2025 12:47,00:14:22:01:23:45,34:AB:CD:EF:12:34,-52,Authentication,N/A,No
04-02-2025 12:08,00:1A:2B:3C:4D:5E,00:1A:2B:3C:4D:5E,-49,Association,N/A,No
04-02-2025 12:35,24:A4:3C:44:55:66,FF:FF:FF:FF:FF:FF,-50,Association,N/A,No
04-02-2025 12:21,24:A4:3C:44:55:66,FF:FF:FF:FF:FF:FF,-55,Deauth,0x04,Yes
04-02-2025 12:12,24:A4:3C:44:55:66,00:1A:2B:3C:4D:5E,-42,Deauth,0x01,Yes
04-02-2025 12:05,00:1A:2B:3C:4D:5E,24:A4:3C:44:55:66,-78,Data,N/A,No
04-02-2025 12:36,34:AB:CD:EF:12:34,00:14:22:01:23:45,-78,Authentication,N/A,No
04-02-2025 12:12,24:A4:3C:44:55:66,00:14:22:01:23:45,-64,Association,N/A,No
04-02-2025 12:36,00:1A:2B:3C:4D:5E,FF:FF:FF:FF:FF:FF,-54,Association,N/A,No
04-02-2025 12:17,00:1A:2B:3C:4D:5E,24:A4:3C:44:55:66,-78,Data,N/A,No
04-02-2025 12:37,18:56:80:99:AA:BB,34:AB:CD:EF:12:34,-59,Deauth,0x04,Yes
04-02-2025 12:35,24:A4:3C:44:55:66,FF:FF:FF:FF:FF:FF,-33,Authentication,N/A,No
04-02-2025 12:51,18:56:80:99:AA:BB,48:5D:36:11:22:33,-40,Deauth,0x0C,Yes
04-02-2025 12:13,00:1A:2B:3C:4D:5E,18:56:80:99:AA:BB,-61,Authentication,N/A,No
04-02-2025 12:15,48:5D:36:11:22:33,48:5D:36:11:22:33,-50,Association,N/A,No
04-02-2025 12:54,48:5D:36:11:22:33,18:56:80:99:AA:BB,-66,Authentication,N/A,No
04-02-2025 12:07,00:1A:2B:3C:4D:5E,24:A4:3C:44:55:66,-60,Data,N/A,No
04-02-2025 12:34,24:A4:3C:44:55:66,FF:FF:FF:FF:FF:FF,-37,Authentication,N/A,No
04-02-2025 12:44,34:AB:CD:EF:12:34,48:5D:36:11:22:33,-74,Deauth,0x01,Yes
04-02-2025 12:58,00:14:22:01:23:45,FF:FF:FF:FF:FF:FF,-56,Authentication,N/A,No
04-02-2025 12:54,18:56:80:99:AA:BB,FF:FF:FF:FF:FF:FF,-44,Authentication,N/A,No
04-02-2025 12:36,18:56:80:99:AA:BB,24:A4:3C:44:55:66,-56,Deauth,0x0C,Yes
04-02-2025 12:35,48:5D:36:11:22:33,00:1A:2B:3C:4D:5E,-48,Association,N/A,No
04-02-2025 12:36,00:1A:2B:3C:4D:5E,FF:FF:FF:FF:FF:FF,-57,Association,N/A,No
04-02-2025 12:10,24:A4:3C:44:55:66,FF:FF:FF:FF:FF:FF,-71,Data,N/A,No
04-02-2025 12:00,18:56:80:99:AA:BB,FF:FF:FF:FF:FF:FF,-61,Deauth,0x04,Yes
04-02-2025 12:58,24:A4:3C:44:55:66,FF:FF:FF:FF:FF:FF,-53,Association,N/A,No
04-02-2025 12:36,34:AB:CD:EF:12:34,00:14:22:01:23:45,-36,Association,N/A,No
04-02-2025 12:55,34:AB:CD:EF:12:34,18:56:80:99:AA:BB,-44,Deauth,0x04,Yes
04-02-2025 12:53,24:A4:3C:44:55:66,00:14:22:01:23:45,-34,Authentication,N/A,No
04-02-2025 12:38,34:AB:CD:EF:12:34,24:A4:3C:44:55:66,-34,Authentication,N/A,No
04-02-2025 12:54,00:1A:2B:3C:4D:5E,48:5D:36:11:22:33,-46,Data,N/A,No
04-02-2025 12:42,00:1A:2B:3C:4D:5E,FF:FF:FF:FF:FF:FF,-47,Authentication,N/A,No
04-02-2025 12:48,48:5D:36:11:22:33,24:A4:3C:44:55:66,-80,Association,N/A,No
04-02-2025 12:28,48:5D:36:11:22:33,24:A4:3C:44:55:66,-35,Association,N/A,No
04-02-2025 12:59,00:14:22:01:23:45,34:AB:CD:EF:12:34,-70,Authentication,N/A,No
04-02-2025 12:39,48:5D:36:11:22:33,00:14:22:01:23:45,-43,Deauth,0x01,Yes
04-02-2025 12:50,18:56:80:99:AA:BB,48:5D:36:11:22:33,-80,Association,N/A,No
04-02-2025 12:21,00:1A:2B:3C:4D:5E,18:56:80:99:AA:BB,-36,Deauth,0x0C,Yes
04-02-2025 12:55,34:AB:CD:EF:12:34,18:56:80:99:AA:BB,-70,Authentication,N/A,No
04-02-2025 12:17,18:56:80:99:AA:BB,00:1A:2B:3C:4D:5E,-74,Data,N/A,No
04-02-2025 12:44,48:5D:36:11:22:33,FF:FF:FF:FF:FF:FF,-50,Data,N/A,No
04-02-2025 12:17,00:14:22:01:23:45,24:A4:3C:44:55:66,-36,Data,N/A,No
04-02-2025 12:23,00:14:22:01:23:45,18:56:80:99:AA:BB,-56,Deauth,0x04,Yes
04-02-2025 12:42,18:56:80:99:AA:BB,00:1A:2B:3C:4D:5E,-61,Deauth,0x0C,Yes
04-02-2025 12:20,18:56:80:99:AA:BB,FF:FF:FF:FF:FF:FF,-54,Data,N/A,No
04-02-2025 12:44,48:5D:36:11:22:33,00:14:22:01:23:45,-49,Deauth,0x0C,Yes
04-02-2025 12:35,00:14:22:01:23:45,00:1A:2B:3C:4D:5E,-54,Authentication,N/A,No
04-02-2025 12:14,34:AB:CD:EF:12:34,FF:FF:FF:FF:FF:FF,-44,Data,N/A,No
04-02-2025 12:40,34:AB:CD:EF:12:34,34:AB:CD:EF:12:34,-35,Deauth,0x03,Yes
04-02-2025 12:28,24:A4:3C:44:55:66,00:14:22:01:23:45,-33,Authentication,N/A,No
04-02-2025 12:35,34:AB:CD:EF:12:34,00:1A:2B:3C:4D:5E,-75,Authentication,N/A,No
04-02-2025 12:11,48:5D:36:11:22:33,24:A4:3C:44:55:66,-32,Data,N/A,No
04-02-2025 12:30,34:AB:CD:EF:12:34,18:56:80:99:AA:BB,-38,Deauth,0x03,Yes
04-02-2025 12:13,18:56:80:99:AA:BB,00:14:22:01:23:45,-60,Data,N/A,No
04-02-2025 12:30,00:14:22:01:23:45,FF:FF:FF:FF:FF:FF,-36,Association,N/A,No
04-02-2025 12:41,00:14:22:01:23:45,00:1A:2B:3C:4D:5E,-49,Authentication,N/A,No
04-02-2025 12:04,48:5D:36:11:22:33,24:A4:3C:44:55:66,-44,Authentication,N/A,No
04-02-2025 12:42,00:14:22:01:23:45,00:1A:2B:3C:4D:5E,-51,Data,N/A,No
04-02-2025 12:23,48:5D:36:11:22:33,FF:FF:FF:FF:FF:FF,-37,Deauth,0x0C,Yes
